LSOA2001,PTAI2015,PTAL
E01000001,69.8233,6b
E01000002,83.782,6b
E01000003,41.7417,6b
E01000004,94.648,6b
E01000005,85.8893,6b
E01000006,22.4558,5
E01000007,33.3023,6a
E01000008,7.39059,2
E01000009,38.3641,6a
E01000010,32.286,6a
E01000011,31.9167,6a
E01000012,16.2314,4
E01000013,13.1449,3
E01000014,7.46001,2
E01000015,8.29508,2
E01000016,5.11561,2
E01000017,8.20281,2
E01000018,7.37822,2
E01000019,4.58686,1b
E01000020,6.75302,2
E01000021,4.86539,1b
E01000022,6.39859,2
E01000023,7.01491,2
E01000024,7.43551,2
E01000025,5.75121,2
E01000026,9.26587,2
E01000027,3.85844,1b
E01000028,3.01489,1b
E01000029,2.5171,1b
E01000030,4.82101,1b
E01000031,4.07693,1b
E01000032,6.6856,2
E01000033,3.91504,1b
E01000034,3.51145,1b
E01000035,6.7778,2
E01000036,7.34586,2
E01000037,2.32273,1a
E01000038,8.36135,2
E01000039,1.99736,1a
E01000040,9.00812,2
E01000041,5.72093,2
E01000042,8.48745,2
E01000043,7.26782,2
E01000044,8.7118,2
E01000045,7.08704,2
E01000046,6.09177,2
E01000047,7.23562,2
E01000048,8.13742,2
E01000049,7.73561,2
E01000050,23.446,5
E01000051,13.4392,3
E01000052,7.91239,2
E01000053,5.84284,2
E01000054,6.31438,2
E01000055,7.7862,2
E01000056,1.62771,1a
E01000057,9.98087,2
E01000058,7.25869,2
E01000059,5.43468,2
E01000060,4.75043,1b
E01000061,7.36381,2
E01000062,4.4875,1b
E01000063,7.42822,2
E01000064,4.11487,1b
E01000065,5.82993,2
E01000066,3.48363,1b
E01000067,5.81071,2
E01000068,16.9529,4
E01000069,8.91029,2
E01000070,9.08794,2
E01000071,8.50495,2
E01000072,3.4708,1b
E01000073,3.68102,1b
E01000074,5.22423,2
E01000075,9.06998,2
E01000076,5.92267,2
E01000077,7.48654,2
E01000078,6.90947,2
E01000079,5.87476,2
E01000080,5.88791,2
E01000081,4.9585,1b
E01000082,4.94285,1b
E01000083,7.38619,2
E01000084,13.9159,3
E01000085,13.5581,3
E01000086,11.3246,3
E01000087,7.1013,2
E01000088,4.09005,1b
E01000089,3.14651,1b
E01000090,2.62035,1b
