Code;Area;2008;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
A;North East;51,7;48,5;51,1;53,7;53,7;53,4;51,7;53,7;53,7;53,4;51,7
B;North West;53,2;50,0;49,6;52,5;53,6;55,3;54,9;52,5;53,6;55,3;54,9
D;Yorkshire;50,7;45,3;47,2;55,3;53,0;49,0;48,0;55,3;53,0;49,0;48,0
E;East Midlands;48,9;41,8;45,0;52,2;51,9;50,6;49,0;52,2;51,9;50,6;49,0
F;West Midlands;48,2;41,4;47,7;49,2;46,3;45,5;45,5;49,2;46,3;45,5;45,5
G;East;52,6;46,1;51,0;52,4;54,7;49,5;51,9;52,4;54,7;49,5;51,9
H;London;59,8;54,8;57,1;58,9;62,1;57,1;62,8;63,9;62,1;61,1;62,8
J;South East;55,9;50,6;50,3;56,9;56,1;58,9;56,2;56,9;56,1;58,9;56,2
K;South West;52,1;43,1;46,4;52,8;51,6;51,0;52,7;52,8;51,6;51,0;52,7
921;England;53,2;47,5;49,9;54,2;54,3;52,9;53,5;54,2;54,3;52,9;53,5
