date,GDP_Growth_QoQ
2002-03-31,0.3
2002-06-30,0.5
2002-09-30,0.7
2002-12-31,0.8
2003-03-31,0.6
2003-06-30,0.9
2003-09-30,1
2003-12-31,0.8
2004-03-31,0.4
2004-06-30,0.5
2004-09-30,0.2
2004-12-31,0.3
2005-03-31,0.8
2005-06-30,0.9
2005-09-30,0.9
2005-12-31,1
2006-03-31,0.3
2006-06-30,0.2
2006-09-30,0.1
2006-12-31,0.4
2007-03-31,1
2007-06-30,0.7
2007-09-30,0.8
2007-12-31,0.7
2008-03-31,0.5
2008-06-30,-0.5
2008-09-30,-1.5
2008-12-31,-2.2
2009-03-31,-1.9
2009-06-30,-0.3
2009-09-30,0.1
2009-12-31,0.3
2010-03-31,0.9
2010-06-30,1.1
2010-09-30,0.6
2010-12-31,0.1
2011-03-31,0.3
2011-06-30,0.1
2011-09-30,0.2
2011-12-31,0
2012-03-31,0.8
2012-06-30,-0.1
2012-09-30,1.2
2012-12-31,-0.1
2013-03-31,0.2
2013-06-30,0.7
2013-09-30,0.7
2013-12-31,0.6
2014-03-31,0.9
2014-06-30,0.9
2014-09-30,0.8
2014-12-31,0.7
2015-03-31,0.4
2015-06-30,0.6
2015-09-30,0.4
2015-12-31,0.7
2016-03-31,0.4
2016-06-30,0.6
2016-09-30,0.4
2016-12-31,0.6
2017-03-31,0.7
2017-06-30,0.5
2017-09-30,0.5
2017-12-31,0.6
2018-03-31,0.1
2018-06-30,0.5
2018-09-30,0.6
2018-12-31,0.3
2019-03-31,0.6
2019-06-30,0.1
2019-09-30,0.6
