date,visits
2002-03-31,8802.806309574
2002-06-30,13035.548063804
2002-09-30,16252.490570482
2002-12-31,11372.913539703
2003-03-31,9592.315550259
2003-06-30,12758.011350785
2003-09-30,16913.434495315
2003-12-31,12122.045518389
2004-03-31,10662.836754734
2004-06-30,14260.189088744
2004-09-30,18680.415176995
2004-12-31,12719.296053421
2005-03-31,11858.810259699
2005-06-30,15984.960408133
2005-09-30,19245.811360885
2005-12-31,13590.354482575
2006-03-31,12108.194493693
2006-06-30,16700.465613336
2006-09-30,21596.353001362
2006-12-31,14310.413242984
2007-03-31,12820.864911603
2007-06-30,16785.348047969
2007-09-30,20318.605684671
2007-12-31,15323.90914879
2008-03-31,14361.28130844
2008-06-30,16837.917461664
2008-09-30,19871.320625038
2008-12-31,13529.995612552
2009-03-31,11597.629891996
2009-06-30,16002.539692738
2009-09-30,19125.171706017
2009-12-31,13275.857568769
2010-03-31,10930.486414956
2010-06-30,15418.117775804
2010-09-30,19176.239437463
2010-12-31,13567.277259785
2011-03-31,11443.114889556
2011-06-30,16543.427011283
2011-09-30,19576.765040471
2011-12-31,13457.410334676
2012-03-31,11431.007520676
2012-06-30,16325.558346537
2012-09-30,18333.577534827
2012-12-31,14181.275902241001
2013-03-31,11874.730772203
2013-06-30,11450.360985463
